Ed & Kim,Barbaar: gekend van o.a. Stubru,16/07/2011,02:30,05:55,"Charlatan, Vlasmarkt 6, Gent",1,1000,51.0560619,3.7282741
Oosterlengte,"Oosterlengte is een verhaal van twee verhalen. Het ene speelt zich af aan deze kant van de wereld. Het andere begint aan de andere kant van de wereld, en maakt een lange reis totdat beide verhalen elkaar aanraken.",16/07/2011,20:30,22:00,"Theaterzaal Steinerschool, Kasteellaan 54, Gent",0,50,51.0493207,3.7394541
Hotel Jarretelle,"De langbenige Pascale Platel verhuurt u graag een kamer voor de nacht en gluurt met u door het sleutelgat naar haar extravagante gasten. Delicieuse dames, burlesque bunnies en drinks on the rocks, welkom in onze cabareteske suite deluxe!",16/07/2011,22:00,23:30,"Balzaal, Vooruit, Sint-Pietersnieuwstraat 23, Gent",1,1000,51.05665,3.72
Romantic Paddling,"Romantische rondvaart in de oude Gentse binnenstad met een Canadese kano, al dan niet voorzien van een bubbeltje.  Voor mensen met een sportieve ingesteldheid en zin voor avontuur en cultuur.",16/07/2011,10:00,19:00,"Sint Michielsbrug, Predikherenlei 2, Gent",0,50,51.0534952,3.7209076
Belfort Privilege Quest,"Ontdek het Belfort met haar donkere geheimen. Speel samen of tegen elkaar enkele opdrachten in en rond het Belfort. Kom zo te weten welk privilege jou toekomt na het kraken van de code. Met GPS 12 EUR, zonder GPS 7 EUR. Excl. toegangsprijs.",16/07/2011,10:00,17:00,"Belfort, Sint-Baafsplein , Gent",0,50,51.0536709,3.7254561
"Rondvaart ""Gent compleet"" + gratis ijsje. Duur 90 min.","1000 jaar architectuur en verhalen. Leuke & grondige verkenning van héél de stad, met gids per boot. Ook vaart u onder 't Laurentplein. Boottocht op Leie, Lieve, Ketelvaart & Schelde. Tickets afhalen vanaf 1 uur vóór afvaart.",16/07/2011,14:00,15:30,"Aanlegsteiger De Bootjes van Gent-Rederij Dewaele, Korenlei , Gent",0,1000,51.054856,3.7201238
Filmvoorstelling : kortfilm De Veer van César,"hoofdrol Pjeroo Roobjee, gastrollen Jan Decleir, Robbe de Hert, Peter Holvoet-Hanssen",16/07/2011,14:00,18:00,"Zebrastraat NV, Zebrastraat 32/001, Gent",1,100,51.0401269,3.7330531
Kindervoorstelling Pappa Langkous,"Rondvaart in de binnenstad met Pappa Langkous.De Gentse kinderen krijgen een stoomcursus Langkous-amusement.  Vertek : 15 u Graslei - Gent-Watertoerist  Prijs : € 6,00/kind (-12 jaar)- € 10,00/Volw. met een gratis Vedett bier. Reservatie verplicht.",16/07/2011,15:00,16:00,"Aanlegsteiger Gent Watertoerist, Graslei , Gent",0,50,51.05471,3.72076
Rondvaarten in de Gentse binnenstad,"Rondvaarten in Gentse binnenstad 50 minuten.  Tijdens de rondvaart eerste 250 pers.: 1 gratis ""La Chouffe"" of 1 ""Liefmans on the rocks""  Vertrek & aankomst Groentenmarkt - Rederij De Gentenaer.  Prijs: € 6,50/Volw.- € 5,50 Gentenaar-€ 3,50 Kind (-12j)",16/07/2011,11:00,19:00,"aan de steiger van Rederij De Gentenaer, Groentenmarkt -, Gent",0,50,51.0559826,3.7223147
"Gentsche volkshumor (Roger Van Bockstaele), Humor en atheïsme (Prof. Van Bendegem), Gentse rap (Letterfretter Mike), cartoontentoonstelling","Vertelling 'Gentsche volkshumor'door Roger Van Bockstaele. Lezing 'Humor en atheïsme' door Prof. JP Van Bendegem.  Optreden door rasechte Gentse rapper ""Letterfretter Mike"".  Receptie en opening van de cartoontentoonstelling  “Selecte (Gentsche) humor”.",16/07/2011,19:00,22:00,"Hof Van Ryhove, Onderstraat 20, Gent",1,100,51.0559253,3.7251237
Carlos Rodriguez-Méndez | Agua Caliente/Hot Water,De Spaanse kunstenaar Carlos Rodríguez-Méndez plaatst een reusachtige minimale sculptuur in de Kunst Nu-ruimte van S.M.A.K.,16/07/2011,10:00,18:00,"S.M.A.K., Citadelpark 2, Gent",0,50,51.05665,3.72
Maxim Lany (BE),"Is al resident in het Gentse (en dus 10 Days) zolang hij het zich kan herinneren. Labelbaas van Lany Recordings. Had onlangs succes met een release op het We Play House label. Thuiswedstrijdje? Neen, een gig op 10 Days is een finale!",16/07/2011,23:00,05:55,"10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000,51.05665,3.72
Nie Pleuje ! Een verrassende wandeling over de eigenzinnigheid van de Gentenaren door de eeuwen heen.,"Wat zou Gent zijn zonder de kritische, rebelse en tegendraadse Gentenaren die ‘Nie Pleujen’ ofwel nooit opgeven ? Waar komt die Gentse mentaliteit eigenlijk vandaan en vooral, hoe heeft ze de stad tot op de dag van vandaag getekend ?",16/07/2011,10:30,12:15,"Aan het standbeeld voor het oude Justitiepaleis, Koophandelsplein, Gent, Koophandelsplein 23, Gent",0,50,51.0502707,3.7211791
Microtorpedo,Mijnheer Torpedo lanceert eigenzinnige schijfjes op kruissnelheid doorheen de club.,16/07/2011,23:00,05:00,"Kinky Star, Vlasmarkt 9, Gent",0,50,51.0557895,3.7285385
't Weeuwken van de Muide,"Na acht uitverkochte voorstellingen in het Cultureel Centrum Meulestede, wordt deze bekende Gentse straatoperette hernomen op dezelfde locatie. Theater en zang brengen het publiek in vervoering te midden van een aangrijpend decor.",16/07/2011,19:00,21:40,"Cultureel Centrum Meulestede, Meulesteedsesteenweg 515, Gent",1,1000,51.0860819,3.7271611
Filocafé in het amfitheater: de Griekse woordkunst herleeft!,"We zoeken samen een uitdagende filosofische kwestie. Via een zoekende, open dialoog gaan we dieper in op gedachten en overtuigingen. Wat weet je? En weet je dat wel zeker? Zet je handelen en voelen op het spel en gooi je als denker in de ring!",16/07/2011,14:30,17:00,"Amfitheater in het Citadelpark, Fortlaan 17, Gent",0,50,51.05665,3.72
Workshop Mama en dochter maken juwelen,Maak samen met je dochter een mooi halssnoer!,16/07/2011,14:30,16:30,"Beverhoutplein 13, Gent",0,50,51.0569984,3.7285361
Schuune vrie schuune.     Kano-tocht met Spierke van Gent,"Schelde,Leie,Lieve,Ketelvaart,echt de moeite waard.sPier van Gent is dus present.Zingen is zeker een must,kano-peddelen vol hartenlust.Een trip met je gezin zie je er ook iets in? bij vvk :kinderen (-10j):3 euro(-16j):5 euro !!",16/07/2011,15:45,17:30,"Kromme Wal - Sluizeken, Krommewal , Gent",0,100,51.0592791,3.7262869
Naar den Congo!,"'Naar den Congo!' geeft een overzicht van 100 jaar Broeders van Liefde in Congo. Het vertelt een verhaal van religieuze overtuiging en idealisme, diepe culturele barrières, opbouw en teloorgang, religieuzen en rebellen.",16/07/2011,13:00,17:00,"Museum Dr. Guislain, Jozef Guislainstraat 43, Gent",1,100,51.0662256,3.702715
